param et[*,*]:
         1            2            3            4            5            6            7            8            9            10           11           12           13           14           15           16:=
  1      .       7.453840e+01 1.091220e+02 1.090183e+03 6.465585e+02 9.445326e+02 3.960778e+03 2.782456e+03 2.771139e+03 3.957101e+03 8.353991e+03 6.670877e+03 8.611319e+03 1.645775e+04 1.642623e+04 2.735747e+04
  2 7.453840e+01      .       1.263754e+02 1.245483e+02 1.129335e+02 5.889197e+02 1.019896e+03 7.390628e+02 1.143467e+03 2.711483e+03 3.119729e+03 2.762728e+03 4.907154e+03 8.001771e+03 9.039403e+03 1.556488e+04
  3 1.091220e+02 1.263754e+02      .       7.075228e+02 1.180068e+02 6.510420e+01 2.877370e+03 1.097609e+03 6.361364e+02 8.431661e+02 4.597343e+03 2.644692e+03 2.893352e+03 8.642085e+03 7.424132e+03 1.456653e+04
  4 1.090183e+03 1.245483e+02 7.075228e+02      .       6.752552e+01 8.353939e+02 6.794013e+01 7.714039e+01 5.138925e+02 2.358065e+03 5.865955e+02 7.774252e+02 2.650275e+03 2.715474e+03 4.037682e+03 7.024595e+03
  5 6.465585e+02 1.129335e+02 1.180068e+02 6.752552e+01      .       8.057496e+01 5.639374e+02 8.066543e+01 9.053974e+01 5.838784e+02 1.019738e+03 5.363911e+02 1.147546e+03 2.848710e+03 2.885259e+03 6.298149e+03
  6 9.445326e+02 5.889197e+02 6.510420e+01 8.353939e+02 8.057496e+01      .       2.559693e+03 5.367157e+02 9.342294e+01 8.754881e+01 2.665645e+03 9.626732e+02 7.293008e+02 4.349470e+03 2.990007e+03 7.281859e+03
  7 3.960778e+03 1.019896e+03 2.877370e+03 6.794013e+01 5.639374e+02 2.559693e+03      .       1.204922e+02 1.057843e+03 4.313188e+03 1.424930e+02 6.331392e+02 3.161028e+03 1.373685e+03 3.163439e+03 4.560075e+03
  8 2.782456e+03 7.390628e+02 1.097609e+03 7.714039e+01 8.066543e+01 5.367157e+02 1.204922e+02      .       7.194542e+01 9.172179e+02 1.009252e+02 6.118777e+01 6.298228e+02 6.768453e+02 1.033618e+03 2.392139e+03
  9 2.771139e+03 1.143467e+03 6.361364e+02 5.138925e+02 9.053974e+01 9.342294e+01 1.057843e+03 7.194542e+01      .       9.129924e+01 5.991425e+02 7.814827e+01 1.132303e+02 1.049985e+03 6.793504e+02 2.328840e+03
 10 3.957101e+03 2.711483e+03 8.431661e+02 2.358065e+03 5.838784e+02 8.754881e+01 4.313188e+03 9.172179e+02 9.129924e+01      .       2.731083e+03 6.517961e+02 1.193193e+02 2.853966e+03 1.216379e+03 3.867009e+03
 11 8.353991e+03 3.119729e+03 4.597343e+03 5.865955e+02 1.019738e+03 2.665645e+03 1.424930e+02 1.009252e+02 5.991425e+02 2.731083e+03      .       7.389331e+01 1.051550e+03 1.027645e+02 5.980611e+02 9.015645e+02
 12 6.670877e+03 2.762728e+03 2.644692e+03 7.774252e+02 5.363911e+02 9.626732e+02 6.331392e+02 6.118777e+01 7.814827e+01 6.517961e+02 7.389331e+01      .       1.191197e+02 1.125312e+02 1.309401e+02 5.812892e+02
 13 8.611319e+03 4.907154e+03 2.893352e+03 2.650275e+03 1.147546e+03 7.293008e+02 3.161028e+03 6.298228e+02 1.132303e+02 1.193193e+02 1.051550e+03 1.191197e+02      .       6.057161e+02 9.814464e+01 7.727538e+02
 14 1.645775e+04 8.001771e+03 8.642085e+03 2.715474e+03 2.848710e+03 4.349470e+03 1.373685e+03 6.768453e+02 1.049985e+03 2.853966e+03 1.027645e+02 1.125312e+02 6.057161e+02      .       7.248969e+01 6.126736e+01
 15 1.642623e+04 9.039403e+03 7.424132e+03 4.037682e+03 2.885259e+03 2.990007e+03 3.163439e+03 1.033618e+03 6.793504e+02 1.216379e+03 5.980611e+02 1.309401e+02 9.814464e+01 7.248969e+01      .       4.572226e+01
 16 2.735747e+04 1.556488e+04 1.456653e+04 7.024595e+03 6.298149e+03 7.281859e+03 4.560075e+03 2.392139e+03 2.328840e+03 3.867009e+03 9.015645e+02 5.812892e+02 7.727538e+02 6.126736e+01 4.572226e+01      .;
