param et[*,*]:
         1            2            3            4            5            6            7            8            9            10           11           12           13           14           15           16:=
  1      .       9.298172e-02 7.497411e-02 3.459033e-01 8.348754e-02 3.903317e-01 7.943490e-01 2.771206e-01 2.683181e-01 8.253466e-01 6.382000e-01 3.720710e-01 6.127699e-01 6.302249e-01 6.376379e-01 8.419801e-01
  2 9.298172e-02      .       2.468766e-01 8.044882e-02 8.107931e-02 6.667414e-01 3.439966e-01 9.224924e-02 3.687522e-01 1.196465e+00 2.679504e-01 2.841777e-01 7.838922e-01 3.510232e-01 6.312876e-01 6.624020e-01
  3 7.497411e-02 2.468766e-01      .       5.625482e-01 8.169682e-02 1.231840e-01 1.087966e+00 3.427406e-01 9.021103e-02 4.030903e-01 7.903252e-01 2.665679e-01 2.818936e-01 6.181176e-01 3.774962e-01 6.458644e-01
  4 3.459033e-01 8.044882e-02 5.625482e-01      .       2.350144e-01 1.066080e+00 9.192893e-02 7.605882e-02 6.061688e-01 1.673334e+00 8.053249e-02 3.462726e-01 1.075857e+00 2.367829e-01 7.582436e-01 6.278458e-01
  5 8.348754e-02 8.107931e-02 8.169682e-02 2.350144e-01      .       3.018339e-01 5.871102e-01 8.994580e-02 1.040098e-01 6.697327e-01 3.638214e-01 1.037904e-01 3.611161e-01 2.761022e-01 2.903357e-01 3.962661e-01
  6 3.903317e-01 6.667414e-01 1.231840e-01 1.066080e+00 3.018339e-01      .       1.693506e+00 6.526929e-01 8.414724e-02 8.081484e-02 1.214398e+00 3.570480e-01 8.026703e-02 8.316029e-01 2.697880e-01 6.234600e-01
  7 7.943490e-01 3.439966e-01 1.087966e+00 9.192893e-02 5.871102e-01 1.693506e+00      .       2.466080e-01 1.058813e+00 2.393450e+00 6.686616e-02 6.115743e-01 1.597207e+00 3.120290e-01 1.103079e+00 8.003237e-01
  8 2.771206e-01 9.224924e-02 3.427406e-01 7.605882e-02 8.994580e-02 6.526929e-01 2.466080e-01      .       2.834417e-01 1.103626e+00 9.266091e-02 9.780953e-02 5.993373e-01 8.346458e-02 3.540305e-01 2.891768e-01
  9 2.683181e-01 3.687522e-01 9.021103e-02 6.061688e-01 1.040098e-01 8.414724e-02 1.058813e+00 2.834417e-01      .       2.687529e-01 6.687594e-01 9.559074e-02 7.814857e-02 3.876071e-01 1.002939e-01 2.912121e-01
 10 8.253466e-01 1.196465e+00 4.030903e-01 1.673334e+00 6.697327e-01 8.081484e-02 2.393450e+00 1.103626e+00 2.687529e-01      .       1.767471e+00 6.303430e-01 1.077256e-01 1.214374e+00 3.831089e-01 8.156391e-01
 11 6.382000e-01 2.679504e-01 7.903252e-01 8.053249e-02 3.638214e-01 1.214398e+00 6.686616e-02 9.266091e-02 6.687594e-01 1.767471e+00      .       2.958848e-01 1.063378e+00 9.001236e-02 6.414655e-01 4.045675e-01
 12 3.720710e-01 2.841777e-01 2.665679e-01 3.462726e-01 1.037904e-01 3.570480e-01 6.115743e-01 9.780953e-02 9.559074e-02 6.303430e-01 2.958848e-01      .       2.376090e-01 9.904330e-02 7.973783e-02 9.462963e-02
 13 6.127699e-01 7.838922e-01 2.818936e-01 1.075857e+00 3.611161e-01 8.026703e-02 1.597207e+00 5.993373e-01 7.814857e-02 1.077256e-01 1.063378e+00 2.376090e-01      .       6.152137e-01 8.477477e-02 3.315354e-01
 14 6.302249e-01 3.510232e-01 6.181176e-01 2.367829e-01 2.761022e-01 8.316029e-01 3.120290e-01 8.346458e-02 3.876071e-01 1.214374e+00 9.001236e-02 9.904330e-02 6.152137e-01      .       2.752495e-01 1.129292e-01
 15 6.376379e-01 6.312876e-01 3.774962e-01 7.582436e-01 2.903357e-01 2.697880e-01 1.103079e+00 3.540305e-01 1.002939e-01 3.831089e-01 6.414655e-01 7.973783e-02 8.477477e-02 2.752495e-01      .       8.106884e-02
 16 8.419801e-01 6.624020e-01 6.458644e-01 6.278458e-01 3.962661e-01 6.234600e-01 8.003237e-01 2.891768e-01 2.912121e-01 8.156391e-01 4.045675e-01 9.462963e-02 3.315354e-01 1.129292e-01 8.106884e-02      .;
