param et[*,*]:
         1            2            3            4            5            6            7            8            9            10           11           12           13:=
  1      .       2.268014e-01 2.819913e-01 1.050578e+00 7.794278e-01 9.679173e-01 1.794564e+00 1.790390e+00 3.363540e+00 2.957751e+00 3.422359e+00 4.955288e+00 4.949862e+00
  2 2.268014e-01      .       3.066651e-01 3.041237e-01 2.875782e-01 7.389303e-01 8.413191e-01 1.079619e+00 1.915810e+00 1.787283e+00 2.481760e+00 3.281757e+00 3.518565e+00
  3 2.819913e-01 3.066651e-01      .       8.206111e-01 2.948908e-01 2.099241e-01 1.054661e+00 7.722235e-01 2.390977e+00 1.743240e+00 1.835092e+00 3.429340e+00 3.144212e+00
  4 1.050578e+00 3.041237e-01 8.206111e-01      .       2.143505e-01 9.023322e-01 2.312922e-01 6.835718e-01 7.372625e-01 8.660027e-01 1.745342e+00 1.769749e+00 2.220042e+00
  5 7.794278e-01 2.875782e-01 2.948908e-01 2.143505e-01      .       2.371218e-01 2.372739e-01 2.534592e-01 1.011231e+00 7.005159e-01 1.081818e+00 1.818859e+00 1.832157e+00
  6 9.679173e-01 7.389303e-01 2.099241e-01 9.023322e-01 2.371218e-01      .       7.007582e-01 2.580404e-01 1.751119e+00 9.784967e-01 8.349510e-01 2.316438e+00 1.869876e+00
  7 1.794564e+00 8.413191e-01 1.054661e+00 2.312922e-01 2.372739e-01 7.007582e-01      .       2.222588e-01 2.696851e-01 2.026122e-01 7.678345e-01 8.000863e-01 1.019074e+00
  8 1.790390e+00 1.079619e+00 7.722235e-01 6.835718e-01 2.534592e-01 2.580404e-01 2.222588e-01      .       7.462328e-01 2.330143e-01 2.880098e-01 1.028264e+00 8.017770e-01
  9 3.363540e+00 1.915810e+00 2.390977e+00 7.372625e-01 1.011231e+00 1.751119e+00 2.696851e-01 7.462328e-01      .       2.256777e-01 1.029139e+00 2.724827e-01 7.454629e-01
 10 2.957751e+00 1.787283e+00 1.743240e+00 8.660027e-01 7.005159e-01 9.784967e-01 2.026122e-01 2.330143e-01 2.256777e-01      .       2.964768e-01 2.869923e-01 3.129465e-01
 11 3.422359e+00 2.481760e+00 1.835092e+00 1.745342e+00 1.081818e+00 8.349510e-01 7.678345e-01 2.880098e-01 1.029139e+00 2.964768e-01      .       7.509004e-01 2.654140e-01
 12 4.955288e+00 3.281757e+00 3.429340e+00 1.769749e+00 1.818859e+00 2.316438e+00 8.000863e-01 1.028264e+00 2.724827e-01 2.869923e-01 7.509004e-01      .       2.232180e-01
 13 4.949862e+00 3.518565e+00 3.144212e+00 2.220042e+00 1.832157e+00 1.869876e+00 1.019074e+00 8.017770e-01 7.454629e-01 3.129465e-01 2.654140e-01 2.232180e-01      .;
