param et[*,*]:
         1            2            3            4            5            6            7            8            9            10           11           12           13:=
  1      .       9.762285e-02 1.278896e-01 3.952127e-01 1.580374e-01 3.726391e-01 4.062289e-01 4.083715e-01 8.793775e-01 5.994718e-01 9.051998e-01 1.046489e+00 1.048335e+00
  2 9.762285e-02      .       3.055666e-01 1.015048e-01 1.036496e-01 5.690803e-01 1.707838e-01 4.134720e-01 4.354312e-01 4.037069e-01 9.758840e-01 6.649517e-01 9.077098e-01
  3 1.278896e-01 3.055666e-01      .       6.467319e-01 1.382923e-01 6.629454e-02 4.373077e-01 1.590799e-01 9.901515e-01 4.365368e-01 4.094615e-01 9.186670e-01 6.393664e-01
  4 3.952127e-01 1.015048e-01 6.467319e-01      .       2.138984e-01 9.008880e-01 9.533028e-02 5.495818e-01 1.496232e-01 3.387482e-01 1.141598e+00 4.066416e-01 8.612273e-01
  5 1.580374e-01 1.036496e-01 1.382923e-01 2.138984e-01      .       2.368416e-01 8.517919e-02 1.034506e-01 3.905406e-01 1.419302e-01 4.445793e-01 4.056486e-01 4.233187e-01
  6 3.726391e-01 5.690803e-01 6.629454e-02 9.008880e-01 2.368416e-01      .       5.353259e-01 9.478406e-02 1.103770e+00 3.946076e-01 1.707050e-01 8.631466e-01 4.210168e-01
  7 4.062289e-01 1.707838e-01 4.373077e-01 9.533028e-02 8.517919e-02 5.353259e-01      .       2.222516e-01 1.114036e-01 7.488258e-02 6.011425e-01 1.620177e-01 3.839418e-01
  8 4.083715e-01 4.134720e-01 1.590799e-01 5.495818e-01 1.034506e-01 9.478406e-02 2.222516e-01      .       5.858087e-01 1.033592e-01 1.191192e-01 3.859010e-01 1.623600e-01
  9 8.793775e-01 4.354312e-01 9.901515e-01 1.496232e-01 3.905406e-01 1.103770e+00 1.114036e-01 5.858087e-01      .       2.240412e-01 1.029030e+00 1.117252e-01 5.861775e-01
 10 5.994718e-01 4.037069e-01 4.365368e-01 3.387482e-01 1.419302e-01 3.946076e-01 7.488258e-02 1.033592e-01 2.240412e-01      .       2.938873e-01 9.215909e-02 1.197342e-01
 11 9.051998e-01 9.758840e-01 4.094615e-01 1.141598e+00 4.445793e-01 1.707050e-01 6.011425e-01 1.191192e-01 1.029030e+00 2.938873e-01      .       5.984003e-01 1.143476e-01
 12 1.046489e+00 6.649517e-01 9.186670e-01 4.066416e-01 4.056486e-01 8.631466e-01 1.620177e-01 3.859010e-01 1.117252e-01 9.215909e-02 5.984003e-01      .       2.232147e-01
 13 1.048335e+00 9.077098e-01 6.393664e-01 8.612273e-01 4.233187e-01 4.210168e-01 3.839418e-01 1.623600e-01 5.861775e-01 1.197342e-01 1.143476e-01 2.232147e-01      .;
