param et[*,*]:
         1            2            3            4            5            6            7            8            9            10           11           12           13:=
  1      .       5.456817e-01 7.647932e-01 3.133565e+00 9.964373e-01 2.911458e+00 3.243124e+00 3.264520e+00 8.515677e+00 5.274860e+00 8.829387e+00 1.058445e+01 1.060780e+01
  2 5.456817e-01      .       2.271864e+00 5.729389e-01 5.881112e-01 4.942731e+00 1.097889e+00 3.315565e+00 3.537117e+00 3.217975e+00 9.699464e+00 6.004649e+00 8.860001e+00
  3 7.647932e-01 2.271864e+00      .       5.799697e+00 8.433297e-01 3.363932e-01 3.556181e+00 1.004660e+00 9.877045e+00 3.548347e+00 3.275415e+00 8.993891e+00 5.717251e+00
  4 3.133565e+00 5.729389e-01 5.799697e+00      .       1.454653e+00 8.776846e+00 5.297105e-01 4.731953e+00 9.305693e-01 2.584319e+00 1.180026e+01 3.247243e+00 8.296544e+00
  5 9.964373e-01 5.881112e-01 8.433297e-01 1.454653e+00      .       1.652237e+00 4.601685e-01 5.867000e-01 3.087328e+00 8.711511e-01 3.630250e+00 3.237334e+00 3.414557e+00
  6 2.911458e+00 4.942731e+00 3.363932e-01 8.776846e+00 1.652237e+00      .       4.579023e+00 5.259193e-01 1.131354e+01 3.127569e+00 1.097255e+00 8.319663e+00 3.391363e+00
  7 3.243124e+00 1.097889e+00 3.556181e+00 5.297105e-01 4.601685e-01 4.579023e+00      .       1.526005e+00 6.436117e-01 3.917202e-01 5.293243e+00 1.027905e+00 3.022259e+00
  8 3.264520e+00 3.315565e+00 1.004660e+00 4.731953e+00 5.867000e-01 5.259193e-01 1.526005e+00      .       5.125011e+00 5.860527e-01 6.998054e-01 3.041549e+00 1.030621e+00
  9 8.515677e+00 3.537117e+00 9.877045e+00 9.305693e-01 3.087328e+00 1.131354e+01 6.436117e-01 5.125011e+00      .       1.541381e+00 1.036419e+01 6.459354e-01 5.129044e+00
 10 5.274860e+00 3.217975e+00 3.548347e+00 2.584319e+00 8.711511e-01 3.127569e+00 3.917202e-01 5.860527e-01 1.541381e+00      .       2.163845e+00 5.077766e-01 7.043247e-01
 11 8.829387e+00 9.699464e+00 3.275415e+00 1.180026e+01 3.630250e+00 1.097255e+00 5.293243e+00 6.998054e-01 1.036419e+01 2.163845e+00      .       5.263078e+00 6.649418e-01
 12 1.058445e+01 6.004649e+00 8.993891e+00 3.247243e+00 3.237334e+00 8.319663e+00 1.027905e+00 3.041549e+00 6.459354e-01 5.077766e-01 5.263078e+00      .       1.534276e+00
 13 1.060780e+01 8.860001e+00 5.717251e+00 8.296544e+00 3.414557e+00 3.391363e+00 3.022259e+00 1.030621e+00 5.129044e+00 7.043247e-01 6.649418e-01 1.534276e+00      .;
